 i    NS               R²               t=0.0080         t=0.076          t=1.652          t=10.742         t=28.114         t=37.208         t=43.37          t=43.498         t=44.172         t=46.696         t=58.668         t=88.856         t=115.58         t=115.606        t=116.27         t=118.292        t=120.99         t=126.384        t=136.494        t=146.604        t=156.714        t=163.724        t=163.784        t=164.12         t=165.3          t=167.154        t=170.186        t=177.94         t=202.204        t=226.4          t=250.676        t=279.614        t=279.722        t=280.24         t=281.08         t=283.774        t=285.796        t=309.032        t=332.306        t=355.54         t=376.892        t=377.162        t=377.794        t=379.478        t=382.004        t=385.378        t=389.924        t=394.472        t=420.914        t=447.374        t=471.66         t=473.516        t=476.888        t=481.442        t=487.678        t=494.428        t=518.822        t=557.042        t=575.24         
                 Observed Values:       0.0             -0.016           -0.053           -0.068           -0.071           -0.072           -0.073           -0.079           -0.105           -0.113           -0.117           -0.121           -0.12            -0.122           -0.137           -0.172           -0.178           -0.182           -0.184           -0.187           -0.188           -0.188           -0.192           -0.212           -0.237           -0.249           -0.255           -0.258           -0.261           -0.261           -0.257           -0.254           -0.255           -0.274           -0.296           -0.307           -0.315           -0.317           -0.317           -0.31            -0.31            -0.31            -0.336           -0.357           -0.377           -0.388           -0.394           -0.396           -0.397           -0.393           -0.388           -0.389           -0.431           -0.454           -0.472           -0.484           -0.492           -0.494           -0.496           
 7   -0.4635433134150  0.9679716637822 -0.0021710090909 -0.0150378715083 -0.0536638776047 -0.0545331227480 -0.0540798983452 -0.0543367627763 -0.0555308421052 -0.0752961776649 -0.1128265389876 -0.1218025619951 -0.1228416247346 -0.1229041686598 -0.1309777777777 -0.1385056521739 -0.2215778222222 -0.2402220283714 -0.2405346088050 -0.2404436847328 -0.2401784290882 -0.2397008772326 -0.2390906557965 -0.2390999787208 -0.2591271014492 -0.3373537304687 -0.3811781336032 -0.3836785218253 -0.38368         -0.3838448490898 -0.3839116925786 -0.3837201845437 -0.3847539282266 -0.3856598877992 -0.4258331284916 -0.4868067167630 -0.5114109521304 -0.5212605221846 -0.5218110733406 -0.5220339958421 -0.5220132567662 -0.5217571937376 -0.5283454545454 -0.5555660601503 -0.5804961894736 -0.6058312622754 -0.6170141132075 -0.6209036491698 -0.6220275942748 -0.6222377900763 -0.6222062963753 -0.6221752659205 -0.6257273469387 -0.6534896550898 -0.6700415832285 -0.6795164617445 -0.6851110581327 -0.6876469729504 -0.6898346430857 -0.6901189662708 -0.69004         
 18  -2.2686621731547  0.9291554735199 -0.0023658923076 -0.0187646933962 -0.1291202312138 -0.1417738016944 -0.1412924597986 -0.1414885863352 -0.1437194736842 -0.1657301269035 -0.2277070399999 -0.2603954796655 -0.2613742325308 -0.2619343522726 -0.2670200000000 -0.2742195652173 -0.3648590404624 -0.3985228150331 -0.4001656850578 -0.4002351156488 -0.4004732493698 -0.4004333246182 -0.4001695667913 -0.4000003861469 -0.4154713207547 -0.4638159699248 -0.5090392403486 -0.5218836182756 -0.5244393233567 -0.5246751597181 -0.5246382423652 -0.5245929574646 -0.5245457373798 -0.5244500240087 -0.5407669832402 -0.5651574377224 -0.5842349534601 -0.6071602536488 -0.6130217081761 -0.6193674831229 -0.6193539942026 -0.6193517044258 -0.6218714285714 -0.6300016066066 -0.6381346337515 -0.6502008630952 -0.6605621734026 -0.6684299846176 -0.6743327011156 -0.6775585143863 -0.6825513476550 -0.6830444770352 -0.6844350000000 -0.6927279955784 -0.6989198348706 -0.7042663587786 -0.7091914854213 -0.7128041982557 -0.7195606429898 -0.7228249957381 -0.72352         
 1   -4.1276318089704  0.8340598319813 -0.0024501       -0.0209652264150 -0.2191771900826 -0.2841617284623 -0.2842389593969 -0.2841048585721 -0.28585         -0.3031621122112 -0.3506666484268 -0.3998822936624 -0.4129161194950 -0.4129653930173 -0.4172871428571 -0.4210297169811 -0.4540712653898 -0.4895272770817 -0.5080822727272 -0.5200009423982 -0.5243176855932 -0.5249473059103 -0.5250462979455 -0.5250699460243 -0.5300367073170 -0.5394642774566 -0.5537704078455 -0.5666637891455 -0.5795149648455 -0.5957274794480 -0.6083158276871 -0.6101783747506 -0.6105727099015 -0.6105900072379 -0.6139602145922 -0.6182595485636 -0.6221309962640 -0.6297261375776 -0.6337319473650 -0.6555332466449 -0.6636249718197 -0.6673337880202 -0.67011         -0.6715492481203 -0.6730590327802 -0.6754391383219 -0.6778722373165 -0.6803290890145 -0.6829636582501 -0.6851816629401 -0.6937744867005 -0.6987485564384 -0.7026812698412 -0.7044175829034 -0.7059389847126 -0.7074444656488 -0.7091293253833 -0.7106660070880 -0.7148656527476 -0.7195729682947 -0.72141         
 12  -5.7972821567196  0.3942798142021 -2.5633000000000  0.0048175571428  0.0364717552447  0.0986924411177  0.1557863397996  0.1678373079906  0.1700881818181  0.1658026732673  0.1583383219358  0.1464172736290  0.1253135938931  0.1116627121801  0.1076893749999  0.1073424528301  0.1043999526315  0.1006079265873  0.0974454868090  0.0930480690839  0.0874526735004  0.0835110784826  0.0804640619012  0.0787209785070  0.0781536666666  0.0775002        0.0763488670658  0.0751126570743  0.0735470351544  0.0704910408103  0.0641407498517  0.0599114231214  0.0567989699252  0.0538795781997  0.0535644191419  0.0533063666210  0.0530460874251  0.0524435074213  0.0520782363413  0.0490831863548  0.0468918382040  0.0450538904152  0.0434472105263  0.0433756315789  0.0432730934844  0.0430789246031  0.0428424808385  0.0425500297707  0.0421781632413  0.0418425522054  0.0401407358773  0.0387218433576  0.0374866190476  0.0373397442888  0.0371430047732  0.0369258549618  0.0366276173408  0.0363048061047  0.0351990912160  0.0338681066076  0.033234        
 2   -6.6705976703916  0.4600983192103  8.7159999999999  0.0088563086956  0.0720688        0.2016589796487  0.2398021505104  0.2401486356062  0.2387385714285  0.2306072532188  0.2153790373487  0.1922834632280  0.1656968988549  0.1596724531090  0.1576744897959  0.1568524528301  0.1501272526315  0.1417029743517  0.1349481958330  0.1264308736641  0.1176564441845  0.1127692931707  0.1098220542409  0.1084130543278  0.1072766037735  0.1056428888888  0.1030034491017  0.1004325284499  0.0973982686576  0.0920272862595  0.0826550240167  0.0777271661716  0.0745425503251  0.0720534616131  0.0713809306930  0.0706932612859  0.0700479269461  0.0687035836477  0.0679483897310  0.0626604650368  0.0593720138092  0.0569395337056  0.0549152631578  0.0547036691729  0.0544500113314  0.0540057857142  0.0534956713626  0.0529307212464  0.0522632472108  0.0516698746979  0.0489329412974  0.0468279354456  0.0451538571428  0.0448371333824  0.0444856856092  0.0440721206106  0.0435923201436  0.0430945083214  0.0414881943319  0.0393522419448  0.038483        
 15  -7.3814614532338  0.2229411798175 -1.4906159999999  0.0050750487179  0.0345582926829  0.0928349403973  0.1496617804154  0.1713332608695  0.1832142857142  0.1800379537953  0.1750742105263  0.1687751388888  0.1628686623212  0.1612303324974  0.1597716666666  0.1594369811320  0.1565989526315  0.1529653061224  0.1499444842933  0.1457367667938  0.1402325270591  0.1361327515453  0.1327912616378  0.1308045346123  0.1301003773584  0.1293225955555  0.1279531592814  0.1264716459559  0.1245962652389  0.1208931614797  0.1129296372107  0.1073831738534  0.1031270927373  0.0989668318702  0.0985022970297  0.0981273584131  0.0977434754491  0.0968573124528  0.0963218324195  0.0919459620016  0.0886816444447  0.0859649425332  0.0835789473684  0.0834623834586  0.0832960955078  0.0829811961451  0.0825999915303  0.0821552492805  0.0816066244862  0.0810944966461  0.0785870013225  0.0764819631023  0.0745476190476  0.0742731333824  0.0739216856092  0.0734821206106  0.0729418163154  0.0723565463500  0.0705307458899  0.0681102587190  0.067005        
 3   -8.0094539272231  0.4829519710644  5.9866000000000  0.0138208461538  0.1180874468085  0.2986288109161  0.3037980608113  0.3037943385113  0.3021600000000  0.2906510561056  0.2667508481532  0.2360546315401  0.2177322889312  0.2168898697928  0.2142562162162  0.2127003773584  0.2002340736842  0.1850853287981  0.1743710012578  0.1637941700987  0.1563817004948  0.1540029877912  0.1531495360438  0.1527808415281  0.1507415094339  0.1473311999999  0.1420803592814  0.1371647656420  0.1316395923369  0.1229714679976  0.1121460062981  0.1084790660411  0.1069383759387  0.1061401310313  0.1047873267326  0.1031683720930  0.1017051137724  0.0988095155555  0.0972587157324  0.0874839343317  0.0825697564870  0.0794575050548  0.0770999473684  0.0765236541353  0.0758922687171  0.0748699954648  0.0738028966037  0.0727044468591  0.0715029221961  0.0704752450708  0.0662024898719  0.0632573161048  0.0608541904761  0.0600692033898  0.0593301528736  0.0585765633587  0.0577090152901  0.0569082485667  0.0545272974479  0.0517981401561  0.050692        
 0   -8.5092417286067  0.3122022209901  3.0687799999999  0.0077586869565  0.0536615102040  0.1461441295546  0.2358977566171  0.2617004799820  0.2683614285714  0.2636559602649  0.2553883173734  0.2424425761655  0.2198803640634  0.2071456325956  0.2035055102040  0.2029490566037  0.1982676105263  0.1923107086167  0.1873863884409  0.1806047938931  0.1723447652269  0.1668869832638  0.1629245181147  0.1607848836165  0.1597543396226  0.1583456711111  0.1559821604790  0.1535877359930  0.1506702780107  0.1452481256605  0.1347419067801  0.1283640514675  0.1239970722164  0.1202107350657  0.1194821452145  0.1187514911080  0.1180427185628  0.1165494666666  0.1156892788492  0.1094002646607  0.1052086017265  0.1019175858236  0.0991223157894  0.0988568270676  0.0985289421286  0.0979593520408  0.0973060089727  0.0965984000198  0.0957522762771  0.0949818708584  0.0913643014501  0.0885733161048  0.0861944761904  0.0857246197494  0.0852093922466  0.0846183862595  0.0838958086591  0.0831832105382  0.0809442974479  0.0780281569303  0.076898        
 16  -9.3531169340129  0.3266086752867  7.04892E-4       0.0098988625000  0.0687486194690  0.1887745454545  0.2903075108721  0.2987258104049  0.2987603571428  0.2931192409240  0.2827147027880  0.2659376505597  0.2414219583088  0.2327776816228  0.2304542105263  0.2297279245283  0.2236816631578  0.2160776417233  0.2098686512287  0.2016794167938  0.1927732617394  0.1876884656722  0.1844029973066  0.1827936732076  0.1814981132075  0.1795494666666  0.1764109820359  0.1733363418356  0.1697143223892  0.1632637404580  0.1520048291220  0.1460843711540  0.1425407417920  0.1397105409439  0.1387187788778  0.1376376196990  0.1366324550898  0.1345721157232  0.1334288911823  0.1256471555192  0.1209236577951  0.1174552902374  0.1144547368421  0.1140148120300  0.1135099109672  0.1126444727891  0.1117041995807  0.1107147414905  0.1095823487962  0.1085653242089  0.1040426782938  0.1007576134101  0.0980062222222  0.0972544576271  0.0965062633683  0.0956938164122  0.0947456499085  0.0938574121990  0.0910455549436  0.0874242007326  0.086058        
